rank,graph_id,vertices,faces,triangles,min_x,min_y,min_z,max_x,max_y,max_z,material_face_counts
873,743,74,112,112,0.10365292429924011,0.2416839897632599,0.764404296875,0.11278530955314636,0.25335693359375,0.7796630859375,"{""0"": 112}"
874,251,72,111,111,-0.2238311469554901,-0.1956329643726349,0.5504913330078125,-0.21165461838245392,-0.1862335503101349,0.5575180053710938,"{""0"": 111}"
875,523,71,107,107,-0.06896966695785522,-0.34515380859375,0.5755462646484375,-0.06062311306595802,-0.340728759765625,0.6061553955078125,"{""0"": 107}"
876,605,73,107,107,-0.01564979925751686,0.1937103122472763,0.292236328125,-0.011538509279489517,0.2039947360754013,0.309417724609375,"{""0"": 107}"
877,267,73,106,106,-0.2175750434398651,-0.1296844780445099,0.424072265625,-0.2089080512523651,-0.12386325001716614,0.445037841796875,"{""0"": 106}"
878,829,65,103,103,0.15815739333629608,-0.2475738376379013,0.5307998657226562,0.16667179763317108,-0.2410888522863388,0.5408287048339844,"{""0"": 103}"
879,823,66,102,102,0.1560821533203125,0.156982421875,0.251861572265625,0.1613311767578125,0.165802001953125,0.259796142578125,"{""0"": 102}"
880,253,64,99,99,-0.2238158881664276,-0.1958008110523224,0.5494804382324219,-0.21275325119495392,-0.1862335503101349,0.5572280883789062,"{""0"": 99}"
881,995,68,99,99,0.2437438815832138,0.2398071587085724,0.5821685791015625,0.2486572116613388,0.2445068657398224,0.5926742553710938,"{""0"": 99}"
882,618,64,95,95,-0.010704942047595978,-0.327362060546875,0.5763702392578125,0.0011645486811175942,-0.322021484375,0.6041336059570312,"{""0"": 95}"
883,678,65,95,95,0.03857417777180672,0.323089599609375,0.751434326171875,0.04402156546711922,0.330047607421875,0.7578125,"{""0"": 95}"
884,279,66,94,94,-0.2131194770336151,-0.1623230278491974,0.45653533935546875,-0.2034606635570526,-0.1517029106616974,0.4847726821899414,"{""0"": 94}"
885,166,64,93,93,-0.256805419921875,-0.04717256873846054,0.74114990234375,-0.2392883151769638,-0.03371431678533554,0.758636474609375,"{""0"": 93}"
886,572,64,93,93,-0.0367850698530674,-0.347412109375,0.5669937133789062,-0.029628697782754898,-0.332061767578125,0.5935897827148438,"{""0"": 93}"
887,927,60,90,90,0.2079620659351349,-0.1282043159008026,0.424957275390625,0.2108612358570099,-0.12234494090080261,0.4374237060546875,"{""0"": 90}"
888,231,58,88,88,-0.2296447455883026,-0.02097705751657486,0.325042724609375,-0.2272796332836151,-0.009657897055149078,0.33837890625,"{""0"": 88}"
889,718,58,87,87,0.07959748059511185,0.1334686279296875,0.19451904296875,0.0856018140912056,0.137664794921875,0.20208740234375,"{""0"": 87}"
890,365,55,83,83,-0.1807861179113388,0.05633923038840294,0.230865478515625,-0.1739501804113388,0.059081997722387314,0.2412566989660263,"{""0"": 83}"
891,670,52,82,82,0.032100677490234375,0.1758117526769638,0.2592010498046875,0.03427886962890625,0.1777953952550888,0.2705841064453125,"{""0"": 82}"
